0,"Limbo","This room has no entrances or exits and is not connected to any other rooms. The only way to get here is teleportation. Consider it a GM/GOD/IMM/IMP area. Alternatively, it could be used a prison for players.",0,0,0,0,0,0,0
1,"Room Title","Every tale must begin somewhere, but not necessarily at the beginning. This adventure begins in the middle and with... Room descriptions: This is where you inform players of what they are able to see, hear, smell, touch, taste, feel, and sense. Room descriptions should explicitly inform the player of every obvious thing he should know about the envirionment and hint at anything not so obvious, such as hidden doors to secret passages, levers, or other mechanisms the player may need to manipulate. Check out the other rooms for examples. Simply type “n” to move north then hit the enter key. Players are allowed to move in the directions of north, east, west, south, up, and down, if there is an exit in that direction. Of course, closed doors will need to be opened and locked doors will need to be unlocked or the lock picked.",2,0,0,0,0,0,1
2,"Lofty Mountain Forrest","You pause near the southern edge of a mountain forest. Far above your head, towering evergreens sway in the soft summer breeze. Occasionally, their branches part allowing the clear deep-blue sky to peer through.",3,0,0,1,0,0,0
3,"An Ancient Path","The path you seem to be following is ancient. It has been worn smooth and wide. Off to both sides of the path lie miles of cedar, cypress, fir, juniper, and pine. Their massive maroon-barked trunks are rooted in eternity and stretch skyward. At their bases, clumps of bright green mosses and ferns carpet the forest floor. The cries of birds echo and ring throughout this ancient wooded mountainside. You feel as though you could lie down and stay here forever surrounded by power and beauty in all directions.",4,0,0,2,0,0,0
4,"Along The Path","Continuing to move slowly along the path, you travel further and further into the heart of this timeless wooded tract. Here you can smell, almost taste, the rich and enchanted forest air. With an increasing sense of the potential energy that permeates this special place, you decide to move on.",5,0,0,3,0,0,0
5,"Along The Path","Occasionally now, weathered stone sculptured pagodas appear along the edge of this path. Tall and wind worn, their ridges and rooftops are covered with a brilliant green moss of the ages. To the north, far in the distance, you can make out what appears to be the edge of this forest.",6,0,0,4,0,0,0
6,"An Ancient Path","The path you seem to be following is ancient. It has been worn smooth and wide. Off to both sides of the path lie miles of cedar, cypress, fir, juniper, and pine. Their massive maroon-barked trunks are rooted in eternity and stretch skyward. At their bases, clumps of bright green mosses and ferns carpet the forest floor. The cries of birds echo and ring throughout this ancient wooded mountainside. You feel as though you could lie down and stay here forever surrounded by power and beauty in all directions.",7,0,0,5,0,0,0
7,"Lofty Mountain Forrest","You linger near the northern edge of a dense mountain forest. Far above your head, towering evergreens sway in the light summer breeze. Occasionally, their branches part allowing the clear deep-blue sky to peer through.",8,0,0,6,0,0,0
8,"The Great Field","You hesitate near the edge of a great field. Thick green grass surrounds you. Warm sunlight massages your body. A soft summer breeze caresses your face ever-so-gently. Birds chirp quietly to themselves. You notice the delicate fragrance of seasonal flowers and freshly cut grass. A well-worn earthen path cuts directly through the center of the landscape from north to south.",9,0,0,7,0,0,0
9,"Shaolin Temple Entrance","The ground here is paved with magnificent gray granite tiles. To the north, a giant Pai Fang, or symbolic gateway, marks the beginning of the temple grounds. It is a pillared gate with a multi-tiered roof of green tile and displays a large plaque indicating you have arrived at the famous Shaolin Temple. Beyond this gateway is the Ji Long Bi, or Nine Dragon Wall, an aesthetic feature announcing the high-status of this temple and indicates imperial sponsorship. Further to the north are two large white marble pedestals, which stand about three feet tall. Atop the pedestals, fierce looking gray marble lions stand watch, protecting the temple gate. Between the ferocious Lion Guardians are white marble steps, which lead up to the outter gatehouse of the Shaolin Temple. The outter gatehouse is a large building of red brick with a dark green tiled roof and a set of large black iron double doors.",10,0,0,8,0,0,0
10,"Atop The Steps","Atop the steps to this outer gatehouse on the northern edge of the temple entrance, you notice those massive iron doors are open and inviting you to enter. Above the arched doorway hangs a large black plaque with gold edging. Upon the plaque, written in gold, are the words: 嵩 山 门",11,0,0,9,0,0,0
11,"Lofty Mountain Gate","You amble through the great arched doorway into this outer gatehouse. Two grimacing temple guardians, Miji Jingang and Naluoyan Jingang, stand watch in this otherwise empty room of red brick.",12,0,0,10,0,0,0
12,"Outer Courtyard","This outter courtyard, as the temple itself, runs north to south. The ground has been paved with marvelous green streaked gray marble tiles. A bilateral row of cypress trees have been planted here. They, too, run north to south. Somehow, you know they are extremely old and have been growing here a long time. At the north end of the trees are two large white marble pedestals, which stand about three feet tall. Atop the pedestals, fierce looking gray marble lions stand watch, protecting the temple gate. Between the ferocious Lion Guardians are white marble steps, which lead up to the inner gatehouse of the Shaolin Temple. The inner gatehouse is a large building of red brick with a dark green tiled roof and a set of large black iron double doors. To the east and west, red brick walls isolate this courtyard from other areas of the temple complex.",13,0,0,11,0,0,0
13,"Atop The Steps","Atop the steps to this inner gatehouse on the northern edge of the inner courtyard, you notice those monsterous black iron double doors. Above the doors hangs a large black plaque with gold edging. Upon the plaque, written in gold, are the words: 少 林 寺",14,0,0,12,0,0,0
14,"Inner Gatehouse","You amble through the great arched doorway into this outer gatehouse. Two grimacing temple guardians, Miji Jingang and Naluoyan Jingang, stand watch in this otherwise empty room of red brick.",15,0,0,13,0,0,0
15,"Inner Courtyard","This inner courtyard runs east to west. The ground is paved with magnificent green streaked gray marble tiles. Off to east and west are exquisite gardens.",30,16,23,14,0,0,0
16,"Bamboo Garden","Here grows a lush green garden. In the center, there is a life-size green jade statue of Bodhidharma. You notice many plants, flowers, and bamboo trees growing here. The sights, sounds, and aroma of this place flood your senses. Suddenly, you are overcome by a peaceful, easy, feeling. Further to the east, you can make out a towering red-brick structure with a green tiled roof. ",31,20,15,17,0,0,0
17,"Heavenly Protection Gate","Before you two heavy black iron doors are open to reveal an arched passageway through a masive red brick wall. On the wall above the passageway, hangs a large black plaque with gold edging. Written upon the plaque are these gold Chinese ideograms: 天 上 保 卫 门",16,0,0,18,0,0,0
18,"Court of Heavenly Pefection","This impressively expansive courtyard is paved with gray bricks that have been worn smooth by the constant friction caused from the incessant practice of elite Temple Protection Monks. Due to this perpetual noise and activity, martial monks have been relegated to training areas at this southern end of the temple grounds, thus isolating them from the many non-martial monks in the northern section of the temple complex. Additionally, quartering fighting monks near the sole entrance to this great walled temple fortress is strategically wise.",17,0,0,19,0,0,0
19,"Martial Monks Quarters","The interior of this dormitory structure is quite sparse. The space functions as a resting place for sleeping martial monks and nothing more. There is not much of interest here.",18,0,0,0,0,0,0
20,"Before The Bell Tower","Before you stands the famous Bell Tower of Shaolin Temple. The tower is built of red brick with a dark green tiled roof. This structure must be over forty feet tall. It has been said, the bell can be heard for distances of over thirty miles! To the lower left of the tower is the stone of Li Shimin. Upon the stone tablet is written a note of gratitude and a decree to the Shaolin Temple monks, which enables them to consume a non-traditional Buddhist monk diet and train warrior monks.",0,21,16,0,0,0,0
